date,county,field_id,high_f,precip_mm
2017-06-17,Curry,NM_FIELD_019,106.0,0.0
2017-06-17,Curry,NM_FIELD_060,106.2,0.0
2017-06-17,Curry,NM_FIELD_188,106.2,0.0
2017-06-16,Lea,NM_FIELD_150,106.8,0.38
2017-06-17,Lea,NM_FIELD_150,109.3,0.0
2018-06-01,Lea,NM_FIELD_150,106.0,0.0
2018-06-24,Lea,NM_FIELD_150,105.7,0.0
2020-06-22,Lea,NM_FIELD_150,105.3,2.46
2017-06-16,Roosevelt,NM_FIELD_004,105.0,0.66
2017-06-17,Roosevelt,NM_FIELD_004,107.6,0.0
2017-06-16,Roosevelt,NM_FIELD_141,105.0,0.66
2017-06-17,Roosevelt,NM_FIELD_141,107.6,0.0
2017-06-16,Roosevelt,NM_FIELD_180,105.0,0.66
2017-06-17,Roosevelt,NM_FIELD_180,107.6,0.0
