field_id,mukey,muname,compname,comppct_r,drainagecl,hzdept_r,hzdepb_r,om_r,ph1to1h2o_r,awc_r,claytotal_r,sandtotal_r,silttotal_r,dbthirdbar_r,cec7_r
271623002471299,397460,Winger silty clay loam,Winger,90,Poorly drained,0,38,5,7.9,0.23,31,6.7,62.3,1.3,26
271623002471299,397537,Wyndmere fine sandy loam,Wyndmere,90,Somewhat poorly drained,0,36,6.5,7.5,0.16,10,68.5,21.5,1.23,17.5
271623002471299,397493,"Balaton-Hamerly complex, 1 to 4 percent slopes",Balaton,55,Moderately well drained,0,20,4,7.6,0.19,32,30,38,1.35,26.8
271623002471299,397493,"Balaton-Hamerly complex, 1 to 4 percent slopes",Balaton,55,Moderately well drained,20,33,3,7.8,0.19,32,30,38,1.35,25
271623002471299,397493,"Balaton-Hamerly complex, 1 to 4 percent slopes",Hamerly,30,Somewhat poorly drained,0,23,5,7.8,0.18,32,30,38,1.35,27
271623002471299,397493,"Balaton-Hamerly complex, 1 to 4 percent slopes",Hamerly,30,Somewhat poorly drained,23,33,4,7.8,0.18,32,30,38,1.3,24.5
271623001561551,396802,"Carmi loam, 2 to 8 percent slopes",Carmi,90,Well drained,0,33,2.5,6.5,0.17,15,44.3,40.7,1.48,14
271623001561551,396820,"Dickinson sandy loam, 2 to 6 percent slopes",Dickinson,90,Well drained,0,38,1.5,6.5,0.14,14,66.8,19.2,1.53,17.5
271623001561551,396831,"Ostrander loam, 6 to 12 percent slopes",Ostrander,85,Well drained,0,33,4,6.5,0.22,22.5,39.8,37.7,1.5,25
271623001561551,396847,"Wadena loam, 2 to 6 percent slopes",Wadena,85,Well drained,0,18,2.5,5.9,0.18,21,40,39,1.3,18
271623001561551,396847,"Wadena loam, 2 to 6 percent slopes",Wadena,85,Well drained,18,43,1,6.3,0.18,20,45,35,1.3,16.6
